Address,Pool token fullBalanceOf
0x8b9fa7432c73c7135e3ec3014cc0b39720634fc2,2077194907664877674820
0x2e614cfb16cea25bed9f07fcefcce7dfc73cd39f,2077523964855234613352
0x7c6d719fe00989ae3df8d3e88041945665a332bb,2077528396181302282959
0xa14f9b86da08467dd05b8c6e2c3a2f2c6214c60f,2078350302990929845815
0xc67e60380e06ec8b20b3def2b86ab0966af1f060,2079408811495091506348
0x280a8675cf1d930c638f4f9eb9dbe75823801d5a,202893232582095006565102
0x8da02d597a2616e9ec0c82b2b8366b00d69da29a,2021073726338138358504
0x90eb355a85ea5324529224945bb55f1960da1b47,2081380996092757740449
0x4ee92dbb71e04bdb8c7f83b08fc5b26659f97a4f,2081951518947288112065
0xe769d85072672dd5e763816fa2c60627b5bcde52,2081951518947288112065
0x000e8c608473dcee93021eb1d39fb4a7d7e7d780,20404969373170535900724
0xaf9df16c45e28a2ad96699cc11b104c12897f625,20388450702540433767138
0x7822159ee394d14745cde63a706f965fb73c7ac8,20405913849182346564583
0xbbfb6566ad064c233af6314aeb1eee4c26a5f921,2073249047090643023
0x278aea15fd6074ad8c5f890a05bb28e336be3be5,2064769600593987417
0xb15988b3da502672c4e98c9ac3348a17f0c3dc2e,21637857050422981817
0x2fd0476478c01d0472b264e27f9d3c1b30dada2a,2218985108790803251
0x7e7d276acf6e572d2da9ccabfee401bdfbaf6754,2228143009703865161897
0x585c17a13241bc44d4aca25852a219bdddef6659,2287904699494669252703
0x268cb4c8b97da9d146702d84501a64f597a3aa14,231797493630044842808367
0x668c6f75486d6882a1aacf7bf03eee605c96fdad,2304134858651934902098
0x4d028ea19d40c9e992a2cb51b55bd37858c379b8,2393388023440259972454
0x92099e29980f9f0031ae6cb4b507d61ca76ab0f6,247717922738514524693
0x2314ed6c3e79b05365fb14b6bb832f03555104eb,2492185979538489649
0xc53539fd4d109840dbfe8c759ba7fc2e7200709b,2516734782902010449659
0xc8e8ed7987009d7937da7b02b6174eb13124573a,251105308539526484170
0x1acf3e6e5fb8f5d53469c15b48550bbcfeb22bfc,2545109393739944415
0x74ab5d0ccdb5a8b8be357bf395f121e5bcaeb86f,2577836085420136595079
0x1777281a2b6610d40ff726c3e03bbdc3b93d31ad,26243331140826069963
0xbbee065885558fba6a5c0cd8f7b827f631137900,2607441126784066826
0x9bb4d790e8f205f15448b6a746d94f75f18cb4b6,2706110311074247895
0xed576e57ae40d9e8fae69fc5e71db3a9ae66c23a,27892486196919355510749
0x493374100e511b1b091fa5bace1929dc154fee80,27536568546619839569686
0x42a64201a842ede7e617a36b0256dc20ad34fa88,29407216751769528406
0x1e1a575fe7bdf0d6265e4127787d3ac93d539239,2916441014517217179
0x2086280e38478a13e2705125d4bbcb5d16b4ab46,2913252914263800957677
0x50c3156ee21bf82ef1d8a4c2dacb6ca2bda49adb,2937368100009137939762
0xad0adf554eeac313b1c2fc06526c0ac969c584ad,30131168695342566116
0xbcc03cf987ca9ea5f9032ad1965a043be43cfa6d,299185977552935855334
0x3adf2869b57ef6404f617aa55411dab102f9bed5,30124855251169445123
0xdee3b4bea6980b23cb33cf54f80cc821da55ea97,30233514125851713173423
0xefb73e47099485c72b7678cb59fb0da7dacf173f,305945970064230293688
0xc28f85d6a2cd2252dac06f3db42a17033c4e7791,3108173628540045747431
0x8bfb0a6848a402d9931ba22797f82781c6e1711f,319309929322129945789
0x7c847e1f5ec059dc984b3b7d640ff56feb9866c8,324390060881
0x7624b0284b2a76da321b2f7ef27481d004dc235a,3251260962200006540
0x19f18ecd93ca130a24035ede88159f83b6576cc8,3269825352697432053
0x9fed225115a1374c7f0faef307d471c80fff1893,3402630704951479220067
0x8a2ff4f48a2aef354d96339946b03fd740293bce,3387957210890816442
0xe63b7ff4639b990bad1d7257fff8070f859f0997,3534026812890507842796
0x983b36872ae1bbc40dd0a99c3ed98429fea0ebd4,35211953509602553130373
0xd9d3dd56936f90ea4c7677f554dfefd45ef6df0f,3560409183309615698835
0x96cb2f6cdf6f301e59724092d03ad119782c093d,3615249053901262999
0xbebcf6cddce5b5a494d7ce051ae3688a925bd10b,35886863125183933
0x6be99e78ce0926ec872e3e3f1e1402575d74425d,3587295510085616166223
0x76b687cf4e5a4e73fa3950d6cc642bcc64e40b88,3934882611735886090
0x9160ab7ee16e69aabf910c41c46bb798c8f9546f,4004651259140974286
0xbb150bc7f3ba780553abaefd0421482d0a9cb53a,4116732057853197463724
0xf7675840d593fbc5e9382dfec12d422319edb172,433892209406284937
0xbab3b9cb224b0b6ed4c4bac7385dea2d06ea9489,43793689237403634379214
0x3d8adaed14c50c8bbd63ea6d7d20ffff56cbd79a,446760862675282215303
0xeb4bd5231274aa4c2b97a4fa06bad9ecfcdad5e0,459038879114568407
0x2ed95bb9e679ba0f66ea0705c82b9855c75c13be,452330774275544326599136
0xc5d16847874f3c47c5dfec353d01105896459d0f,459507977016565611782
0x3f240c6144408906c356bca4ef30ed6f4d656328,461315645745148010
0xef35dfbd99e100776f76976948e250cd0a89c7ef,4717441232709080316509
0xa2087c31818bad0fa7d8e3504a24ddb79e235bdd,484405521060292642
0x098e67de2aa59beae302325528ba35d4d2c3f2f8,485988259281894841
0x4795237e09bf7bff7b6fb3d42466e2917f571223,4972460102125391233
0xa389e2fc6ed8af24c43cd85752bd8feeb14a1a69,495131649225861439
0x94da175d52afe4e52b2cb3a4cb7c1773fc3976e4,499938944536973955
0xdb33efb01ed7f36a803b1e7eaeae737d22f9ebca,51432449677530456858054
0xc808a7e9510dbc4ef27a21432649a3ed9ecd6968,50939166920600250067098
0x274d9e726844ab52e351e8f1272e7fc3f58b7e5f,50935810652674178146754
0xe86a383f599eb082f0dd6187dc144e22893220f6,523916147803868078069
0x7a2fffcf2fbacc3f35c8e807d975f7c2046316af,50557659204972876019783
0x309dfaf096a9ea21b0c8c0aafbe27dbf715d37b4,50558728908616249866008
0x5d25c789d07f347e04aa65ba0daf2d61730bbac8,5002653160419257286217
0x10395903bfbf4ef877e43f8e6a56591d9cd1a201,50114196400247093677605
0x728742e8cb6ccf1fec195c5a7539fc87162daf23,52140889315468749030872
0xc4dfdf8c6b5512b2aab84e8d9f969cb8b9fd3aba,50172089609328851727374
0x37aa859a834299ef8f75cb809eb94a967b7493e9,50045593494501526400131
0x7983c67d0d0c8742e1b60de04c880fc450a0a495,508827412638139538
0x690eb09378cac699b0ab2b09c6e6032c43d31d34,506062013252650749764
0x0467460ca0620c06bf23bd09f38341f7d233aba5,5099737103871443369
0x51a23045db018780dd40c890c62368c187e8d179,512274002313640372
0x95e0734c3d4dfcdf932c765eba2a359799226b41,511213019032757823
0xb0e7c2319993c00b9430d18bdd9f98fefb6b5857,509587534075954323
0xc571147a515a789eb23cbcbf92f86bc1485ab877,5245118381902647649416
0x7cbb5da95442fa56c8549a3f0f0ffc397c7b5c18,515435941437919782
0x1640bc366ba62512843753e9a7320420d8aef6b6,521874391139248128
0xea3ed91a668b6a56751729016ebafc214dfbeb65,536746097339604851563
0x0b08dcc37e449c04a55a12454a8957a72e608994,525749429369532804
0xc1723b93e1aadfd00806079edf11d70461c49da0,542367911157142322972
0x53844b5f02e634a6e70b9c67c813af79060c70c3,534078198886310675
0xd18c7d59f3c7a5a5dc3e1d8df92a21c645735739,531792546507924602
0xf53cb49b4bc515c865e0503245621d797a9cc546,530330529458864955
0x2755da7bb6b7a70eae26cccf447682298eac1eb8,5481559452483893648701
0x9d2ab7e492a782f7e7a6fe39f31b86c4b0d2713a,535014265407900113917
0x9cac102e4e269d18e4b43a10cbbe733dd4402b79,533756828334322287
0xe64262a940f948abbe4236eb936e07aa7550a1ff,534272089949761865
0x2f9677016cb1e92e8f8a999c4541650c80c8637a,536463519391832272
0x19882c42b8233128b4fc7c1c39ddb994060fd316,533503088165565597
0x62c704b3645ed6274c5220d324253b816855bc7c,537835804468719067
0xc4bd102a87a264faf814f5d4d087214185fb5279,539366918624785603
0x373af10b9e12bfa505149f287edd0f00511ee886,5592048186329571307
0xd68b22d7f83ace5a10d991391799a332f0e091e8,545658142450285932
0x5780837c1d9ac3cd9b72203c8a0cfac73a9fc0b8,54381292127328680038316
0x5bc124b3f28c301f497d3d44eb5c3225651143cb,547213530269981261
0xd607fce24b45d4be5bc6b9aac0540bdff8ddf76b,548207365215604679
0x49ac4131fd40356d8320fc64d4a79be44f1b4708,552301651778170024
0xf2eda2787d728c3e640000c9c67fb88e61355804,559695224823390594641
0x8c061fc4625ab8244ef1b9bee7004f5f791f4db9,555499920574378089
0xbc1980f0f5c156180b913092fab43ac31932f27f,571386070645360140
